text,start_pos,end_pos,entity_type,release_date,release_url
Detroit,15,22,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Brian A. Benczkowski,162,182,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Justice Departments Criminal Division,186,227,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Timothy J. Plancon,253,271,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the U.S. Drug Enforcement Administration,275,315,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
DEA)s Detroit Division and Special Agent,317,357,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Lamont Pugh III,368,383,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the U.S. Department of Health and Human Services Office of Inspector Generals,387,464,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Chicago Regional Office,475,498,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Malik Fuqua,522,533,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Southfield,542,552,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Michigan,554,562,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
U.S.,581,585,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
David Lawson,601,613,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Eastern District of Michigan,617,649,LOC,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Fuqua,668,673,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Fuqua,716,721,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Fuqua,829,834,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Shirley Douglas,924,939,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
West Bloomfield,948,963,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Michigan,965,973,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Fuqua,1258,1263,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
DEA,1350,1353,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
HHS,1358,1361,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Malisa Dubal,1383,1395,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Patrick Suter,1400,1413,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Criminal Divisions Fraud Section,1417,1453,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
The Fraud Section,1480,1497,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Medicare Fraud Strike Force,1504,1535,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Department of Justice,1581,1606,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
HHS,1611,1614,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Medicare Fraud Strike Force,1756,1787,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Medicare,1918,1926,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the HHS Centers,1975,1990,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Medicare & Medicaid Services,1995,2023,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
the Department of Justice,2206,2231,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
was,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
sentenced,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
